"event_family","field","coverage_status","implementation_path","audit_status","remaining_evidence_state"
"session","run_id","covered","v4/live/paper_trade_log.py make_trade_log_event","fail_closed_required_all_events","Awaiting live no-order evidence"
"session","session_id","covered","v4/live/paper_trade_log.py make_trade_log_event","fail_closed_required_all_events","Awaiting live no-order evidence"
"session","event_id","covered","v4/live/paper_trade_log.py make_event_id","fail_closed_required_all_events","Awaiting live no-order evidence"
"session","event_type","covered","v4/live/paper_trade_log.py validate_trade_event and validate_observability_contract","fail_closed_required_all_events","Awaiting live no-order evidence"
"session","mode","covered","v4/live/paper_trade_log.py make_trade_log_event","fail_closed_required_all_events","Awaiting live no-order evidence"
"session","paper_trading","covered","v4/live/paper_trade_log.py validate_observability_contract","fail_closed_required_all_events","Awaiting live no-order evidence"
"session","real_money","covered","v4/live/paper_trade_log.py validate_observability_contract","fail_closed_required_all_events","Awaiting live no-order evidence"
"session","live_orders_enabled","covered","v4/live/paper_trade_log.py make_trade_log_event","fail_closed_required_all_events","Awaiting live no-order evidence"
"session","broker_order_endpoint_called","covered","v4/live/paper_trade_log.py validate_observability_contract","fail_closed_required_all_events","Awaiting live no-order evidence"
"session","artifact_ids","partial","Protocol158/160 emit artifact ids for decision/order rows; executor accepts artifact_ids","fail_closed_required_for decision/order rows","Older/non-decision rows may not include artifacts; live evidence still required"
"session","runtime_flag_digest","partial","Protocol158/160 pass runtime flag digest; executor accepts runtime_flag_digest","fail_closed_required_for decision/order rows","Older rows and non-runtime contexts may fail until regenerated"
"market_context","spx_price","covered","market_snapshot_payload in Protocol158/160","fail_closed_required_market_snapshot","Awaiting live no-order evidence"
"market_context","vix_price","covered","market_snapshot_payload in Protocol158/160","fail_closed_required_market_snapshot","Awaiting live no-order evidence"
"market_context","spx_raw_quote_timestamp_utc","covered_fail_closed","quote_freshness_from_ticker plus market_snapshot_payload","fail_closed_if_missing","Requires ticker timestamp from live source"
"market_context","vix_raw_quote_timestamp_utc","covered_fail_closed","quote_freshness_from_ticker plus market_snapshot_payload","fail_closed_if_missing","Requires ticker timestamp from live source"
