experiment	score	status	description
exp_001	0.280104	keep	score=0.280 trades=387 wr=51.2% baselines=ALL
exp_002	4.700000	keep	score=4.700 trades=416 wr=53.6% baselines=ALL
exp_003	3.635013	revert	score=3.635 trades=370 wr=53.2% baselines=ALL
exp_004	4.200000	revert	score=4.200 trades=424 wr=52.8% baselines=ALL
exp_005	4.236292	revert	score=4.236 trades=368 wr=52.4% baselines=ALL
exp_006	4.425371	revert	score=4.425 trades=392 wr=50.0% baselines=ALL
exp_007	4.372881	revert	score=4.373 trades=366 wr=53.6% baselines=ALL
exp_008	4.758621	keep	score=4.759 trades=395 wr=55.7% baselines=ALL
exp_009	4.344828	revert	score=4.345 trades=376 wr=53.2% baselines=ALL
exp_010	0.277027	revert	score=0.277 trades=435 wr=49.9% baselines=ALL
exp_011	2.514581	revert	score=2.515 trades=395 wr=53.9% baselines=ALL
exp_012	4.042040	revert	score=4.042 trades=437 wr=50.8% baselines=ALL
exp_013	2.487828	revert	score=2.488 trades=400 wr=49.2% baselines=ALL
exp_014	4.259283	revert	score=4.259 trades=366 wr=53.3% baselines=ALL
exp_015	2.301367	revert	score=2.301 trades=378 wr=50.8% baselines=ALL
exp_001	4.677966	revert	score=4.678 trades=374 wr=54.8% baselines=ALL
exp_002	2.550921	revert	score=2.551 trades=401 wr=54.9% baselines=ALL
exp_003	3.931395	revert	score=3.931 trades=452 wr=54.4% baselines=ALL
exp_004	4.700000	revert	score=4.700 trades=397 wr=54.4% baselines=ALL
exp_032	4.920000	keep	score=4.920 trades=168 wr=64.3% pdr=82.0% baselines=ALL (new 47-feature baseline)
exp_033	4.846154	revert	score=4.846 trades=166 wr=66.3% pdr=80.8% dropout=0.15 (worse PDR)
exp_034	4.981132	keep	score=4.981 trades=185 wr=62.7% pdr=83.0% lookback=30 NEW BEST
exp_035	4.800000	revert	score=4.800 trades=162 wr=64.8% pdr=80.0% lookback=15 (too short)
exp_036	5.280000	keep	score=5.280 trades=159 wr=64.2% pdr=88.0% pnl_sample_weighting NEW BEST
exp_037	4.981132	revert	score=4.981 trades=175 wr=60.6% pdr=83.0% 3x_sample_weight (too aggressive)
exp_038	-1.000000	revert	GATE_FAILURE too_few_trades=21 gate_threshold=0.55 (too aggressive)
exp_039	5.058824	revert	score=5.059 trades=160 wr=66.2% pdr=84.3% d32_depth2 (less capacity hurt)
exp_040	4.961538	revert	score=4.962 trades=158 wr=66.5% pdr=82.7% lr=2e-4 (slower learning, worse PDR)
exp_041	4.560000	revert	score=4.560 trades=207 wr=58.5% pdr=76.0% max_hold_60 (too tight, worse everything)
exp_042	4.300000	revert	score=4.300 trades=348 wr=58.3% pdr=71.7% confidence_gate (opened gate wider, not tighter)
exp_043	5.375000	keep	score=5.375 trades=147 wr=70.1% pdr=89.6% seed=123 NEW BEST
exp_044	5.361702	revert	score=5.362 trades=121 wr=64.5% pdr=89.4% seed=7 (close but seed 123 better)
exp_045	4.981132	revert	score=4.981 trades=202 wr=61.9% pdr=83.0% seed=2024 (much worse)
exp_046	5.666667	keep	score=5.667 trades=77 wr=74.0% pdr=94.4% asym=5x NEW BEST PF=10.69
exp_047	5.520000	revert	score=5.520 trades=41 wr=75.6% pdr=92.0% asym=8x (too conservative, only 25 days)
exp_048	5.666667	revert	score=5.667 trades=77 wr=74.0% pdr=94.4% wd=0.005 (identical to exp_046)
exp_049	5.333333	revert	score=5.333 trades=72 wr=76.4% pdr=88.9% cooldown=15 (killed buffer trades)
exp_050	5.307692	revert	score=5.308 trades=46 wr=73.9% pdr=88.5% huber_delta=0.3 (too conservative, 26 days)
exp_051	5.600000	revert	score=5.600 trades=57 wr=71.9% pdr=93.3% huber_delta=0.8 (close but fewer traded days)
exp_052	5.193396	keep	WF_BASELINE score=5.193 folds=[4.78,4.98,5.06,5.79,5.36] trades=588 days=185 baselines=ALL
exp_053	4.829049	revert	score=4.829 folds=[2.64,5.22,5.52,5.21,5.56] dropout=0.10 (fold 0 collapsed)
exp_054	4.937374	revert	score=4.937 folds=[4.90,4.25,5.32,5.32,4.90] asym=3x (too many trades, fold1 collapsed)
exp_055	4.653680	revert	score=4.654 folds=[5.05,5.11,5.03,5.50,2.59] d_model=96 (fold 4 collapsed)
exp_056	5.266862	keep	score=5.267 folds=[5.14,4.98,5.06,5.79,5.36] std=0.29 wd=0.03 NEW WF BEST
exp_057	5.217870	revert	score=5.218 folds=[4.90,4.98,5.06,5.79,5.36] wd=0.05 (fold 0 regressed vs 0.03)
exp_058	5.304720	keep	score=5.305 folds=[4.80,5.25,5.84,5.81,4.83] std=0.45 asym=4x NEW WF BEST
exp_059	-999.000	crash	fold 2 model_fold2.pt not saved (disk/save issue), folds 0-1 OK
exp_059	5.309400	keep	score=5.309 folds=[4.80,5.38,6.00,5.25,5.12] hold_frac fix (training/replay aligned) NEW WF BEST
exp_060	-1.000000	revert	GATE_FAILURE all folds too_few_trades (7-28), gate=0.55 way too aggressive
exp_061	5.349200	keep	score=5.349 folds=[4.90,5.59,5.66,5.20,5.40] std=0.28 dir-asym calls=4x puts=6x NEW WF BEST
exp_062	5.423000	keep	score=5.423 folds=[5.17,5.33,5.83,5.20,5.59] std=0.25 RISK_W=0.5 NEW WF BEST
exp_063	5.343700	revert	score=5.344 folds=[4.97,5.32,5.82,5.23,5.38] RISK_W=0.7 (fold 0 regressed)
exp_064	5.423000	revert	score=5.423 identical to exp_062 (confidence gate was no-op)
exp_065	5.423000	revert	score=5.423 identical to exp_062 (extra time didn't help, best epoch still 1-5)
exp_066	5.522800	keep	score=5.523 folds=[5.17,5.59,5.66,5.61,5.59] std=0.18 dir-dependent hold (puts 20 bars) NEW WF BEST
exp_067	5.419600	revert	score=5.420 folds=[5.19,5.22,5.83,5.25,5.61] 2x sample weight (marginal regression)
exp_068	4.702255	revert	score=4.702 folds=[5.00,4.90,4.80,3.81,5.00] std=0.45 MFE-training gate-too-loose 1693trades WR=46% PF=1.61 PDR=83%
