seed,day,side,iv_percentile,ret_20d,trend,vol,base_hl,h3a_hl
42,2023-03-31,call,0.0051282052882015705,0.015716927214657783,chop,low,969.1184866816596,969.1184866816596
42,2023-04-12,call,0.25410255789756775,0.04404163583947751,bull,low,-28.190022602677345,-169.72213154534498
42,2023-04-13,call,0.06709402054548264,0.06494890908437068,bull,low,2717.157595390546,2214.046248233366
42,2023-04-14,put,0.1159401684999466,0.044892176447265175,bull,low,2967.185451038477,2287.2731074381227
42,2023-04-17,call,0.03743589669466019,0.05998513967935404,bull,low,-633.082554142548,74.92226441804951
42,2023-04-18,call,0.039230767637491226,0.05161953311076428,bull,low,-382.8626885306122,-154.18146911872188
42,2023-04-19,call,0.0480341874063015,0.03804707663632656,bull,low,821.2468605778445,886.0899315628674
42,2023-04-20,call,0.06623931974172592,0.04920335728003411,bull,low,8.789893730508586,-124.77011851662732
42,2023-04-21,call,0.16440171003341675,0.04705670767695347,bull,low,100.69230506573196,100.69230506573196
42,2023-04-24,put,0.05410256236791611,0.04178931597567592,bull,low,495.6842438094833,1034.2484751262498
42,2023-04-25,call,0.04025641083717346,0.023745892551407577,bull,low,-391.7610111667126,-391.7610111667126
42,2023-04-26,call,0.2222222238779068,0.02138830064487207,bull,low,-465.10036852226955,-465.10036852226955
42,2023-04-27,call,0.06623931974172592,0.026652430848686404,bull,low,2411.9056962972068,1625.2389868727735
42,2023-04-28,put,0.14927349984645844,0.02947116334189226,bull,low,-463.7387873083353,-463.7387873083353
42,2023-05-01,call,0.01512820553034544,0.014220350945508553,chop,low,-478.7418227957979,-285.9225842714976
42,2023-05-02,call,0.07688034325838089,-0.0012608353033884967,chop,low,-1215.7102121185617,-1215.7102121185617
42,2023-05-05,call,0.3401709496974945,0.007544825570064306,chop,mid,187.10790019054636,187.10790019054636
42,2023-05-08,put,0.17329059541225433,0.007116675509776904,chop,low,76.05578560595002,-431.467503393335
42,2023-05-09,put,0.0042307693511247635,0.0024628084290347907,chop,low,156.63855132968803,122.73565938998395
42,2023-05-10,call,0.2916666567325592,0.010939977958766889,chop,low,-643.7166584851938,-643.7166584851938
42,2023-05-11,call,0.44371795654296875,-0.003835104958862967,chop,mid,-58.22507842313219,83.1816185364337
42,2023-05-12,put,0.2579059898853302,-0.003291866768822427,chop,low,131.31892331402054,-10.062088386539969
42,2023-05-15,call,0.29149574041366577,-0.003586741822035777,chop,low,-557.4212852200346,-392.58272227013975
42,2023-05-16,call,0.17760683596134186,-0.010802041990290667,chop,low,-284.66667921947436,95.15532575851834
42,2023-05-17,call,0.2319658100605011,0.0009772088892312514,chop,low,67.68711084872484,13.283896235128243
42,2023-05-18,put,0.11401709169149399,0.016374470063265534,chop,low,-252.9649446356385,765.1209271891155
42,2023-05-19,call,0.4894871711730957,0.014130676704825929,chop,mid,-639.0415760013583,-563.5465316260244
42,2023-05-22,call,0.3625641167163849,0.013387925971222625,chop,mid,-180.2641998253596,-180.2641998253596
42,2023-05-23,put,0.05239316076040268,0.01817052146621556,chop,low,182.58889179833517,39.316858796020774
42,2023-05-25,call,0.6147863268852234,0.003997832995545236,chop,mid,61.01244773452336,91.54407282191666
42,2023-05-26,call,0.49521368741989136,0.008451305467687575,chop,mid,628.0686496929959,628.0686496929959
