seed,day,side,trend,vol,chosen_objective_pnl,pred_dollar_score,pred_return_score,pred_clean_entry_prob,pred_win_prob,decision_margin,base_hl
42,2023-03-31,call,chop,low,969.1184692382812,-0.03557208925485611,0.07904306054115295,0.3483101427555084,0.4346809685230255,0.06717179715633392,969.1184866816596
42,2023-04-12,call,bull,low,-28.19002342224121,-1.1881940364837646,-0.30794012546539307,0.3820679783821106,0.44537004828453064,0.6698399782180786,-28.190022602677345
42,2023-04-13,call,bull,low,2717.15771484375,-1.3026899099349976,-0.34862664341926575,0.3809410631656647,0.44642794132232666,0.7124305963516235,2717.157595390546
42,2023-04-14,put,bull,low,2967.185546875,-0.9951374530792236,-0.23301354050636292,0.38771766424179077,0.44631892442703247,0.6514366865158081,2967.185451038477
42,2023-04-17,call,bull,low,-633.0825805664062,-1.1498639583587646,-0.3082316517829895,0.40105924010276794,0.4544937312602997,0.7626346349716187,-633.082554142548
42,2023-04-18,call,bull,low,-382.8627014160156,-1.3248306512832642,-0.36913731694221497,0.4072803258895874,0.45796334743499756,0.9054064750671387,-382.8626885306122
42,2023-04-19,call,bull,low,821.2468872070312,-1.4823194742202759,-0.39733466506004333,0.3619178831577301,0.43905454874038696,0.6831569075584412,821.2468605778445
42,2023-04-20,call,bull,low,8.789894104003906,-1.4366916418075562,-0.40016457438468933,0.3805321156978607,0.4480142593383789,0.7709416151046753,8.789893730508586
42,2023-04-21,call,bull,low,100.69230651855469,-1.1870932579040527,-0.3234596252441406,0.4120020866394043,0.45861580967903137,0.8576683402061462,100.69230506573196
42,2023-04-24,put,bull,low,495.6842346191406,-1.2768371105194092,-0.34003177285194397,0.399422287940979,0.45494508743286133,0.8904660940170288,495.6842438094833
42,2023-04-25,call,bull,low,-391.7610168457031,-1.4035887718200684,-0.39313575625419617,0.39754718542099,0.455057293176651,0.8939443230628967,-391.7610111667126
42,2023-04-26,call,bull,low,-465.1003723144531,-1.1216866970062256,-0.31178566813468933,0.41191622614860535,0.4594489634037018,0.7803525328636169,-465.10036852226955
