date,bar_of_day,global_bar,target_delta,spx_spot,skip_reason,contract_idx,contract_strike,contract_delta,contract_mid_at_entry
2022-04-11,143,143,0.4,4440.02978515625,,101,4445.0,0.42805877327919006,7.519999980926514
2022-04-11,143,143,0.5,4440.02978515625,,99,4440.0,0.5110520124435425,9.649999618530273
2022-04-13,100,490,0.4,4421.27001953125,,123,4430.0,0.3799879848957062,6.900000095367432
2022-04-13,100,490,0.5,4421.27001953125,,119,4420.0,0.5302636027336121,11.5
2022-04-18,108,888,0.4,4394.02001953125,,108,4400.0,0.42818522453308105,9.100000381469727
2022-04-18,108,888,0.5,4394.02001953125,,106,4395.0,0.49651116132736206,11.399999618530273
2022-04-20,137,1307,0.4,4473.85009765625,,128,4480.0,0.4046505093574524,6.599999904632568
2022-04-20,137,1307,0.5,4473.85009765625,,126,4475.0,0.4914291799068451,9.199999809265137
2022-04-22,93,1653,0.4,4332.68994140625,,129,4345.0,0.38186365365982056,10.119999885559082
2022-04-22,93,1653,0.5,4332.68994140625,,125,4335.0,0.48205360770225525,12.6899995803833
2022-04-25,120,2070,0.4,4216.89013671875,,72,4230.0,0.38860902190208435,11.800000190734863
2022-04-25,120,2070,0.5,4216.89013671875,,68,4220.0,0.4803522527217865,17.200000762939453
2022-04-27,128,2468,0.4,4216.990234375,,102,4230.0,0.39953139424324036,13.5
2022-04-27,128,2468,0.5,4216.990234375,,98,4220.0,0.4827910363674164,18.700000762939453
2022-04-29,45,2775,0.4,4253.75,,174,4270.0,0.383907675743103,13.699999809265137
2022-04-29,45,2775,0.5,4253.75,,168,4255.0,0.4984470307826996,20.06999969482422
2022-05-02,22,3142,0.4,4134.02001953125,no_delta_match,-1,0.0,0.0,0.0
2022-05-02,22,3142,0.5,4134.02001953125,no_delta_match,-1,0.0,0.0,0.0
2022-05-04,55,3565,0.4,4161.14990234375,,124,4180.0,0.40546131134033203,21.0
2022-05-04,55,3565,0.5,4161.14990234375,,116,4160.0,0.5136244893074036,30.200000762939453
2022-05-06,53,3953,0.4,4114.4599609375,,146,4135.0,0.3863798677921295,17.899999618530273
2022-05-06,53,3953,0.5,4114.4599609375,,138,4115.0,0.504084587097168,25.0
2022-05-09,133,4423,0.4,4025.27001953125,,88,4040.0,0.40326055884361267,16.100000381469727
2022-05-09,133,4423,0.5,4025.27001953125,,82,4025.0,0.5085645318031311,21.899999618530273
2022-05-11,139,4819,0.4,4031.909912109375,,114,4045.0,0.4103732407093048,15.800000190734863
2022-05-11,139,4819,0.5,4031.909912109375,,110,4035.0,0.48357200622558594,20.200000762939453
2022-05-13,15,5085,0.4,3980.64990234375,no_delta_match,-1,0.0,0.0,0.0
2022-05-13,15,5085,0.5,3980.64990234375,no_delta_match,-1,0.0,0.0,0.0
2022-05-16,82,5542,0.4,3997.4599609375,,110,4010.0,0.4089801013469696,14.699999809265137
2022-05-16,82,5542,0.5,3997.4599609375,,106,4000.0,0.48686352372169495,18.600000381469727
2022-05-17,126,5976,0.4,4066.090087890625,,79,4075.0,0.4073975384235382,10.199999809265137
